HIP,RAICRS,DEICRS,Vmag
2762,8.81100390,-3.59275785,5.20
2787,8.88645754,-0.50545908,5.94
2802,8.92139531,-48.00066027,5.51
2854,9.03453140,54.16845384,5.08
2876,9.11392475,60.32621728,5.78
2900,9.19362920,44.48850971,5.14
2903,9.19713232,15.23175994,5.89
2912,9.22016239,33.71935227,4.34
2920,9.24277921,53.89693161,3.69
2941,9.33244613,-24.76722545,5.57
2942,9.33844167,35.39951013,5.45
3031,9.63958024,29.31236900,4.34
3083,9.79119583,49.35459528,5.45
3092,9.83165567,30.86122579,3.27
3093,9.84206107,21.25137390,5.88
3138,9.98147468,21.43856440,5.36
3170,10.10273354,-59.45568115,5.89
3179,10.12661349,56.53740928,2.24
3193,10.17658814,-4.35180551,5.90
3231,10.27998074,39.45867141,5.30
3245,10.33156671,-46.08500934,4.59
3277,10.44292464,-56.50145475,5.72
3299,10.51431560,66.14761311,5.83
3300,10.51618425,50.51254151,4.80
3330,10.61790472,-65.46813002,5.38
3352,10.67349903,-60.26268184,5.99
3405,10.83851683,-57.46309763,4.36
3414,10.86704470,47.02463657,4.95
3419,10.89678452,-17.98668410,2.04
3455,11.04752272,-10.60927365,4.77
3456,11.04964742,-38.42197898,5.90
3478,11.10927611,47.86396300,5.66
3504,11.18125882,48.28438262,4.48
3505,11.18515547,-22.00633247,5.22
3521,11.23801546,-42.67632489,5.94
3544,11.32168124,55.22140870,5.41
3572,11.41296370,74.98812620,5.64
3583,11.43930832,-47.55217573,5.80
3607,11.54845521,-22.52206718,5.49
3632,11.63740001,15.47561194,5.36
3675,11.75594336,11.97393464,5.51
3693,11.83495908,24.26737703,4.08
3697,11.84843074,6.74098135,5.98
3717,11.93000731,-18.06142264,5.70
3721,11.94174879,74.84758739,5.42
3741,12.00437854,-21.72247464,5.57
3750,12.03698124,72.67445774,5.86
3760,12.07226858,7.29991977,5.92
3765,12.09388786,5.28338873,5.74
3781,12.14632729,-74.92335356,5.09
3786,12.17039736,7.58520186,4.44
3801,12.20830552,50.96819154,4.90
3810,12.24462380,16.94113370,5.07
3821,12.27125262,57.81654770,3.46
3834,12.30791020,-24.13652681,5.90
3849,12.35647376,-13.56101709,5.59
3881,12.45345723,41.07895474,4.53
3885,12.47128657,27.71031105,5.55
3909,12.53218487,-10.64377045,5.17
3949,12.67136689,-50.98692422,5.24
3951,12.68155194,64.24758084,5.35
4104,13.16917061,-24.00592567,5.47
4147,13.25204382,-1.14422060,4.78
4151,13.26783051,61.12355735,4.80
4200,13.40741156,-62.87135327,5.73
4267,13.64674999,19.18843611,5.80
4283,13.71984836,83.70746159,5.59
4288,13.74174956,23.62844595,5.46
4292,13.75080422,58.97279657,4.83
4293,13.75124739,-69.52697888,5.45
4346,13.92668443,-7.34703997,5.88
4371,14.00627513,-11.26650685,5.35
4422,14.16671042,59.18116582,4.62
4427,14.17708808,60.71674966,2.15
4436,14.18790699,38.49925513,3.86
4440,14.19558745,60.36284769,5.56
4463,14.30178237,23.41775997,4.40
4510,14.45895150,28.99223560,5.44
4552,14.55914315,33.95105921,5.99
4572,14.62916229,66.35182541,5.97
4577,14.65144118,-29.35746436,4.30
4587,14.68286462,-11.37993895,5.62
4675,15.01477994,44.71330426,5.69
4770,15.32593934,-38.91664868,5.59
4852,15.60990729,-31.55204219,5.50
4889,15.70452742,31.80433674,5.50
4890,15.70496560,-46.39733801,5.39
4903,15.72614941,41.34519861,5.95
4906,15.73606615,7.89007256,4.27
4914,15.76085267,-4.83635047,5.40
4962,15.90419820,61.07482982,5.92
4998,16.00995036,52.50230919,5.99
5021,16.08145357,61.58024409,5.83
5081,16.27229777,14.94600386,5.64
5131,16.42053152,21.47321620,5.33
5132,16.42365838,21.46547318,5.55
5165,16.52127713,-46.71849042,3.32
5164,16.52137513,-9.83936845,5.58
5268,16.82738598,-61.77526197,5.36
5296,16.94216802,-9.78559168,5.71
5300,16.94927201,-41.48693516,5.21
5310,16.98795829,20.73932115,5.56
5317,17.00299391,43.94224107,5.04
5336,17.05383776,54.92422766,5.17
5346,17.09309979,5.65022130,5.51
5348,17.09608370,-55.24583235,3.94
5361,17.13936547,58.26347937,5.77
5364,17.14693197,-10.18192800,3.46
5372,17.18399735,86.25711803,4.24
5434,17.37550908,47.24182410,4.26
5447,17.43248991,35.62083048,2.07
5454,17.45502008,19.65838540,5.57
5493,17.57852966,42.08157668,5.67
5494,17.58103932,25.45803989,5.81
5510,17.63982219,2.44570842,5.97
5518,17.66360631,68.77868759,5.32
5542,17.77471116,55.14994765,4.34
5544,17.77822190,31.42476555,5.15
5550,17.79287081,37.72413814,5.80
5566,17.85631897,64.20272388,5.56
5571,17.86330901,21.03467568,4.66
5586,17.91494471,30.08972962,4.51
5589,17.92237013,65.01888517,5.57
5594,17.93142731,-2.25102487,5.93
5626,18.06878934,79.67397492,5.60
5661,18.18902960,-37.85640391,5.95
5737,18.43250986,7.57548895,5.21
5742,18.43723014,24.58376482,4.67
5778,18.53186747,16.13354221,5.97
5799,18.59986241,-7.92350040,5.14
5833,18.70491873,-0.97429411,5.70
5862,18.79403213,-45.53209717,4.97
5896,18.93956391,-68.87623708,4.25
5926,19.04959061,71.74384538,5.87
5951,19.15144476,-2.50021280,5.42
6061,19.44993370,3.61452038,5.13
6193,19.86657455,27.26408682,4.74
6226,19.95121720,-0.50899490,5.87
6242,20.02049027,58.23161610,4.95
6315,20.28064145,28.73838983,5.23
6411,20.58497087,45.52875660,4.87
6492,20.85396862,20.46898990,5.97
6502,20.87903356,-30.94550599,5.84
6514,20.91898254,37.71499034,5.60
6537,21.00604671,-8.18275372,3.60
6564,21.08535375,-6.91466853,5.92
6592,21.16988858,-41.49245885,5.42
6631,21.27198122,-64.36943630,5.92
6670,21.40503869,-14.59875437,4.90
6686,21.45251267,60.23540347,2.66
6692,21.48293404,68.12994739,4.72
6706,21.56366085,19.17232096,5.35
6711,21.57749566,43.45788606,5.98
6732,21.67352916,19.24056476,5.50
6748,21.71481835,-13.05653391,5.51
6813,21.91285470,45.40695287,4.83
6867,22.09142360,-43.31772906,3.41
6960,22.40041765,-21.62934677,5.11
6999,22.52542506,47.00737711,5.27
7007,22.54559597,6.14393314,4.84
7016,22.59531980,-26.20785462,5.92
7078,22.80632718,70.26478860,5.82
7083,22.81242306,-49.07307701,3.93
7097,22.87080776,15.34583101,3.62
7118,22.93021487,-30.28292502,5.79
7213,23.23355059,-36.86518161,5.49
7251,23.35711597,58.32734523,5.69
7276,23.42805448,-7.02514279,5.75
7294,23.48302496,59.23209665,4.68
7321,23.56915511,37.23719753,5.90
7345,23.65717247,-15.67635270,5.62
7359,23.70436400,18.46067238,5.90
7447,23.97777176,17.43378965,5.95
7450,23.99565496,-15.40021584,5.41
7463,24.03512124,-29.90743360,5.69
7513,24.19990413,41.40638491,4.10
7535,24.27483902,12.14151058,5.54
7568,24.36574940,-84.76965017,5.66
7588,24.42813204,-57.23666007,0.45
7601,24.47908355,-82.97528876,5.88
7607,24.49792651,48.62848641,3.59
7617,24.53151544,57.97764488,5.55
7643,24.61455891,-36.52795330,5.94
7650,24.62892127,73.04007203,5.28
7679,24.71544923,-21.27547447,5.58
7719,24.83757938,44.38612827,5.01
7740,24.91986640,16.40588595,5.98
7751,24.94684603,-56.19644067,5.76
7818,25.14501739,40.57710624,4.96
7825,25.16483499,43.29776385,5.63
7884,25.35794814,5.48760445,4.45
7906,25.41350900,30.04713542,5.97
7916,25.43665870,-11.32366816,5.75
7918,25.44381547,42.61380692,4.96
7921,25.44980076,-60.78924102,5.70
7941,25.51256331,-36.83226421,5.70
7943,25.51439571,35.24576705,5.63
7955,25.53602338,-32.32685759,5.25
7965,25.58518510,68.04304624,5.57
7978,25.62146258,-53.74057470,5.52
7981,25.62479083,20.27015091,5.24
7999,25.68132047,-3.69011692,4.98
8016,25.73220374,70.62255881,5.18
8046,25.83223958,60.55137091,5.78
8068,25.91506370,50.68876550,4.01
8102,26.02136441,-15.93955597,3.49
8198,26.34828629,9.15764102,4.26
8209,26.41106016,-25.05243403,5.29
8230,26.49694074,-5.73322696,5.37
8240,26.52469172,-50.81621317,5.49
8241,26.52557865,-53.52218065,5.04
8362,26.93360110,63.85310111,5.63
8387,27.04542790,16.95563093,5.86
8404,27.10843265,3.68540364,5.91
8423,27.16184118,37.95293583,5.94
8433,27.17366149,32.68948705,5.78
8497,27.39662961,-10.68618074,4.66
8544,27.53575113,22.27535660,5.83
8588,27.71672491,11.04344590,5.92
8593,27.72699465,-50.20612713,5.94
8598,27.73786884,51.93369809,5.96
8645,27.86504416,-10.33494526,3.74
8704,27.99711412,55.14740479,5.53
8714,28.03897527,50.79286359,5.70
8778,28.21703176,-16.92912351,5.78
8796,28.27041595,29.57939727,3.42
8814,28.32229965,40.72979974,5.42
8832,28.38235506,19.29409264,3.88
8833,28.38890233,3.18747844,4.61
8837,28.41174872,-46.30244631,4.39
8882,28.59191795,-42.49688104,5.12
8886,28.59868107,63.67014686,3.35
8903,28.65978771,20.80829949,2.64
8928,28.73339519,-67.64748114,4.68
8993,28.96263355,23.57734317,5.76
9001,28.97697359,37.27780093,5.89
9007,28.98680207,-51.60958673,3.69
9009,29.00001575,68.68526545,4.97
9021,29.03845779,37.25180400,5.69
9061,29.16732782,-22.52671153,4.92
9095,29.29163705,-47.38529869,4.82
9110,29.33763922,17.81758940,5.09
9132,29.43223051,27.80452380,5.84
9153,29.48239763,23.59609610,4.79
9222,29.63958177,49.20425200,5.70
9236,29.69113269,-61.56992444,2.86
9307,29.89831329,21.05860461,5.89
9312,29.90828959,64.62163894,5.29
9313,29.91189289,-42.03028941,5.57
9326,29.94245126,-20.82457549,5.43
9347,30.00093670,-21.07777193,3.99
9353,30.03760293,3.09763527,5.89
9372,30.11154942,-8.52382616,5.43
9440,30.31165140,-30.00156583,5.34
9459,30.42667654,-44.71339037,5.15
9480,30.48979079,70.90704605,4.49
9487,30.51166929,2.76376048,3.82
9505,30.57530917,54.48754946,4.99
9533,30.64615770,13.47672808,5.97
9570,30.74152860,33.28415151,5.50
9572,30.74397324,-15.30594985,5.87
9573,30.75078582,64.39002289,5.59
9589,30.79835710,0.12845397,5.42
9598,30.85912643,72.42123962,3.95
9621,30.91359346,25.93544879,5.64
9622,30.91868509,-4.10336397,5.61
9631,30.95051270,-0.34014611,5.96
9640,30.97466283,42.32984832,2.10
9677,31.12262534,-29.29683966,4.68
9727,31.27938922,77.28145654,5.27
9763,31.38157411,76.11511028,5.22
9836,31.64130188,22.64840404,5.03
9884,31.79285757,23.46277743,2.01
9977,32.12144102,37.85918337,4.78
9990,32.16908619,58.42360489,5.66
10035,32.28888091,-43.51647088,5.84
10053,32.35535861,25.93997268,4.98
10064,32.38550383,34.98739204,3.00
10155,32.65642510,19.50040351,5.68
10212,32.83817716,8.57008262,5.64
10234,32.89933984,-1.82534866,5.94
10280,33.09301632,30.30321507,4.94
10296,33.15630080,24.16779356,5.96
10305,33.19717997,-2.39345960,5.65
10306,33.19993262,21.21098318,5.23
10320,33.22691696,-30.72384252,5.27
10324,33.25004577,8.84675230,4.36
10326,33.25396814,-21.00023660,5.86
10328,33.26352181,15.27991044,5.72
10340,33.30558667,44.23168903,4.84
10366,33.40008213,51.06623342,5.31
10418,33.56042796,-67.84155199,5.57
10440,33.63317374,-41.16670109,5.91
10513,33.86899336,-67.74633515,5.67
10535,33.92847664,25.04325530,5.57
10540,33.94139916,25.78309877,5.79
10559,33.98456296,33.35897589,5.25
10602,34.12708452,-51.51211145,3.56
10642,34.24578955,-6.42185630,5.51
10644,34.26007346,34.22482985,4.84
10670,34.32848216,33.84732099,4.03
10718,34.49925395,57.89980835,5.75
10723,34.50510951,1.75689975,5.60
10729,34.51916463,57.51632574,5.99
10732,34.53144339,19.90116135,5.58
10793,34.73745342,28.64267411,5.29
10819,34.82019851,47.37998782,5.31
10871,34.97602796,-55.94484169,5.81
10944,35.24238707,50.15154156,5.57
11001,35.43759585,-68.65942390,4.08
11021,35.48597927,0.39569203,5.29
11029,35.50600237,-10.77733458,5.43
11033,35.52073828,-17.66202807,5.89
11046,35.55169522,-0.88474037,5.42
11060,35.58930899,55.84565637,5.16
11072,35.63508730,-23.81631542,5.19
11090,35.70984185,41.39653472,5.81
11095,35.71864225,-73.64582097,5.99
11102,35.72772659,-51.09228926,5.90
11220,36.10372497,50.00663318,5.19
11249,36.20435282,10.61059804,5.48
11258,36.22497693,-60.31162902,5.36
11313,36.40583743,50.27866588,4.73
11345,36.48755111,-12.29045200,4.88
11348,36.50156687,-15.34111517,5.88
11381,36.64651715,-20.04286354,5.89
11407,36.74627081,-47.70382692,4.24
11432,36.86578353,31.80134872,5.55
11477,37.00704179,-33.81105246,5.13
11484,37.03965786,8.46008870,4.30
11486,37.04162643,29.66953828,5.29
11548,37.20224439,29.93158402,5.89
11569,37.26661741,67.40238385,4.46
11670,37.63464227,25.23521368,5.88
11738,37.87534312,2.26720689,5.27
11757,37.91716991,-79.10924959,5.27
11767,37.94614689,89.26413805,1.97
11783,38.02198846,-15.24431990,4.74
11784,38.02556633,36.14723132,5.15
11791,38.03931801,-1.03481751,5.36
11840,38.21940851,34.54245642,5.84
11867,38.27932880,-34.64992327,5.91
11918,38.46130170,-28.23234010,4.96
12002,38.67745683,-7.85928850,5.74
12072,38.91142631,37.31229050,5.72
12086,38.94498948,34.68768289,5.38
12093,38.96870420,5.59330163,4.87
12107,39.00028366,-7.83145306,5.53
12114,39.01596864,6.88336423,5.79
12122,39.03865189,-30.04496366,5.74
12148,39.14626535,7.73007761,5.81
12153,39.15728620,12.44784628,5.64
12181,39.23782977,38.73398283,5.91
12186,39.24425358,-34.57734519,5.78
12225,39.35110362,-52.54308845,5.30
12239,39.40002834,65.74535775,5.80
12247,39.42407297,-3.39606767,5.65
12273,39.50870051,72.81821481,5.17
12288,39.57748196,-30.19388274,5.84
12332,39.70416245,21.96144509,5.45
12387,39.87061789,0.32851680,4.08
12390,39.89054885,-11.87158159,4.83
12394,39.89676530,-68.26694760,4.12
12413,39.94966387,-42.89163328,4.74
12444,40.05209879,-9.45268375,5.79
12484,40.16491631,-54.54992422,5.21
12486,40.16638213,-39.85530905,4.11
12489,40.17097186,27.06100903,5.30
12530,40.30779517,-0.69534847,5.72
12562,40.39221887,-14.54941172,5.98
12608,40.52746495,-38.38371780,5.99
12623,40.56220350,40.19438688,4.91
12640,40.59134429,20.01157690,5.74
12653,40.63816025,-50.80082665,5.40
12686,40.74778071,53.52618220,5.85
12692,40.76167775,55.10607111,5.76
12706,40.82551897,3.23617162,3.47
12719,40.86296031,27.70717078,4.65
12768,41.02149224,44.29705480,5.43
12770,41.03064356,-13.85867594,4.24
12777,41.04869991,49.22866639,4.10
12803,41.13737997,15.31189952,5.78
12821,41.20695883,67.82470926,5.95
12828,41.23488901,10.11421979,4.27
12832,41.23961417,12.44596709,5.17
12843,41.27492276,-18.57265077,4.47
12871,41.36438582,-63.70453152,5.73
12876,41.38555249,-67.61672400,4.83
13055,41.94847766,81.44866603,5.80
13061,41.97683942,29.24742385,4.52
13108,42.13359632,18.28387012,5.83
13121,42.19112221,25.18807322,5.89
13141,42.25569560,-62.80659207,5.25
13147,42.27233113,-32.40628403,4.45
13165,42.32315708,17.46434448,5.26
13202,42.47562958,-27.94203549,5.39
13209,42.49578911,27.26079044,3.61
13225,42.56144528,-35.84368582,5.92
13244,42.61890350,-75.06688108,4.76
13254,42.64547584,38.31890838,4.22
13265,42.66834974,-35.67571664,5.48
13268,42.67413655,55.89552955,3.77
13288,42.75977464,-21.00397890,4.76
13327,42.87319979,15.08212726,5.52
13328,42.87846216,35.05989415,4.56
13339,42.92396836,46.84200204,5.86
13367,42.99478506,68.88851683,5.94
13473,43.39313847,-38.43708698,5.93
13479,43.39695392,-22.37612257,5.93
13490,43.42740906,38.33767914,5.34
13531,43.56442700,52.76248991,3.93
13654,43.95209490,18.33167607,5.76
13665,43.98642959,61.52106281,5.59
13679,44.05720205,8.38177807,5.97
13701,44.10668245,-8.89760976,3.89
13702,44.10825985,18.02365076,5.58
13717,44.15602146,-3.71221461,5.16
13775,44.32200201,31.93429432,5.10
13782,44.34875521,-23.86207670,5.44
13834,44.52114653,20.66881016,5.80
13835,44.52369967,-23.60613828,5.82
13847,44.56548180,-40.30473491,2.88
13874,44.67538999,-2.78272383,5.22
13879,44.69021034,39.66282739,4.68
13884,44.69902505,-64.07129717,4.98
13905,44.76545740,35.18311415,4.94
13914,44.80305773,21.34044477,4.63
13942,44.90027293,-25.27433851,5.69
13949,44.91611677,41.03305347,5.89
13951,44.92151015,-2.46490094,5.56
13954,44.92873469,8.90740111,4.71
13965,44.95742747,47.22063875,5.47
14036,45.18372171,10.87047197,5.93
14043,45.21743352,52.35179769,5.24
14060,45.29152748,-7.66283629,5.75
14086,45.40604298,-28.09048221,5.88
14109,45.47562665,26.46234187,5.91
14110,45.48372163,-9.96139327,5.84
14131,45.56415553,-71.90249547,5.51
14135,45.56991279,4.08992539,2.54
14143,45.59378383,4.35287042,5.62
14146,45.59830468,-23.62433613,4.08
14168,45.67608040,-7.68546315,5.32
14187,45.73267366,-46.97504226,5.81
14240,45.90376552,-59.73761994,5.12
14293,46.06865515,-7.60089934,5.26
14328,46.19912598,53.50645031,2.91
14354,46.29373754,38.84053298,3.32
14376,46.36119708,25.25519906,5.45
14382,46.38510717,56.70554810,4.77
14417,46.53313395,79.41851027,5.49
14439,46.59869819,13.18740263,5.64
14456,46.63953388,-6.08854227,5.23
14502,46.82923690,64.05760178,5.89
14521,46.88292015,-78.98942329,5.67
14576,47.04220716,40.95565120,2.09
14632,47.26201363,49.61350009,4.05
14668,47.37345463,44.85788896,3.79
14677,47.40303182,29.07711221,5.74
14764,47.66156390,11.87269252,5.97
14817,47.82250605,39.61157075,4.61
14838,47.90695691,19.72669777,4.35
14844,47.92855231,81.47071191,5.92
14862,47.98432711,74.39386878,4.85
14879,48.01783332,-28.98910623,3.80
14893,48.05932746,27.25701296,5.78
14913,48.10699596,-44.41965395,5.92
14915,48.10987466,6.66088598,5.55
14930,48.13808292,-57.32158199,5.71
14954,48.19301506,-1.19593294,5.07
15004,48.34940955,48.17699884,5.93
15110,48.72547816,21.04462873,4.87
15154,48.83519839,30.55667481,5.61
15192,48.94988581,57.14062522,5.79
15197,48.95844499,-8.81984050,4.80
15201,48.98899185,-77.38860498,5.51
15219,49.05085271,50.93771066,5.04
15241,49.14663457,32.18421948,5.98
15305,49.36084175,-47.75173770,5.84
15330,49.43528798,-62.57689893,5.53
15334,49.44057220,39.28341373,5.97
15338,49.44721595,44.02508193,5.49
15357,49.51038343,-28.79703600,5.93
15371,49.54640411,-62.50793537,5.24
15382,49.59206509,-22.51114978,4.86
15383,49.59282830,-0.93014105,5.62
15404,49.65717026,50.22223526,5.16
15411,49.67113524,-18.55964006,5.72
15416,49.68259978,34.22267370,4.85
15444,49.78174379,50.09502752,5.05
15457,49.83974536,3.36997055,4.84
15474,49.87904033,-21.75794210,3.70
15479,49.89542972,-24.12284680,5.63
15510,49.97177014,-43.07154929,4.26
15514,49.98255370,27.07130717,5.91
15520,49.99690314,65.65232717,4.74
15547,50.08158506,77.73490142,5.44
15549,50.08485949,29.04849835,4.47
15619,50.27821082,3.67568149,5.70
15627,50.30671225,21.14714057,5.27
15643,50.35010618,-23.63508924,5.50
15648,50.36086309,43.32965174,4.96
15669,50.46821583,49.07105892,5.94
15696,50.54954371,27.60757659,5.55
15737,50.68863399,20.74210510,5.10
15770,50.80490169,49.21333010,5.32
15861,51.07693671,24.72418789,5.50
15863,51.08061889,49.86124281,1.79
15876,51.12366306,33.53601771,5.78
15890,51.16900549,64.58599618,5.13
15900,51.20349011,9.02906504,3.61
15968,51.40105611,-69.33659399,5.96
16029,51.59383221,-27.31760910,5.93
16083,51.79217049,9.73277240,3.73
16112,51.88902397,-35.68133899,5.71
16142,52.00395041,-11.28648689,5.74
16147,52.01270885,49.06293148,4.99
16168,52.08616659,33.80769703,5.72
16210,52.21794573,49.84844583,5.58
16228,52.26722684,59.94033461,4.21
16244,52.34179296,49.50901919,4.67
16245,52.34244352,-62.93843436,4.71
16263,52.40009401,-12.67474889,5.57
16281,52.47810837,58.87875244,4.55
16285,52.47997851,-42.63425261,5.76
16290,52.49552432,-78.35178497,5.68
16292,52.50095974,55.45183695,5.09
16322,52.60198294,11.33648129,5.14
16335,52.64367585,47.99517199,4.36
16339,52.65374344,-47.37517410,5.98
16340,52.65388405,48.10365477,5.82
16341,52.65437447,-5.07516332,4.74
16358,52.68914607,6.18874381,5.93
16368,52.71534366,-66.48971810,5.81
16369,52.71819576,12.93668186,4.14
16470,53.03575392,48.02353391,5.47
16489,53.08214603,84.91136314,5.62
16499,53.10960058,46.05704336,5.30
16509,53.14465247,-50.37884857,5.67
16511,53.14970799,9.37355768,5.76
16518,53.16675711,35.46172039,5.91
16537,53.23509009,-9.45830584,3.72
16591,53.39592658,39.89959026,5.79
16599,53.41292455,54.97486087,5.98
16611,53.44686638,-21.63281597,4.26
16664,53.61093000,24.46447543,5.95
16780,53.99021710,-11.19397792,5.56
16803,54.07246744,-17.46704107,5.24
16826,54.12233383,48.19270068,4.32
16846,54.19711994,0.58815498,5.82
16852,54.21882896,0.40283316,4.29
16870,54.27365880,-40.27451075,4.57
16989,54.62189268,-7.39170945,5.86
17027,54.75469049,-5.62570656,5.97
17103,54.96309860,3.05684307,5.55
17167,55.15972132,-5.21069726,5.53
17203,55.28267183,37.58026421,5.55
17296,55.53894572,63.21675891,5.06
17304,55.56207975,-31.93839587,4.99
17309,55.57893663,19.70028593,5.68
17313,55.59434812,33.96503899,4.97
17342,55.67805920,59.96938466,5.74
17351,55.70884185,-37.31334485,4.59
17358,55.73117540,47.78765330,3.01
17378,55.81231706,-9.76519868,3.52
17395,55.89099355,-10.48561144,5.59
17440,56.04814541,-64.80709398,3.84
17448,56.07969347,32.28827325,3.84
17457,56.12711667,-1.16307844,5.24
17460,56.13082016,36.46020384,5.60
17489,56.20084227,24.28957712,5.45
17499,56.21884811,24.11344840,3.72
17506,56.23526063,-0.29671559,5.56
17527,56.29052841,24.83937337,5.66
17529,56.29851422,42.57854437,3.77
17531,56.30200876,24.46737879,4.30
17534,56.31616344,-47.35945424,5.72
17563,56.41846008,6.05002905,5.34
17573,56.45663804,24.36785796,3.87
17579,56.47693278,24.55462128,5.76
17584,56.49685459,45.68194432,5.66
17585,56.50339866,67.20188088,5.79
17587,56.50971937,63.34506772,4.78
17593,56.53542672,-12.10173530,4.43
17595,56.53901620,6.80365522,5.91
17608,56.58150135,23.94846207,4.14
17618,56.61426555,-29.33816606,5.91
17651,56.71245432,-23.24843800,4.22
17678,56.80929799,-74.23924251,3.26
17702,56.87110065,24.10524193,2.85
17717,56.91508473,-23.87479582,5.24
17738,56.98342907,-30.16732063,5.52
17771,57.06771677,11.14336637,5.08
17776,57.08668426,23.42136355,5.44
17798,57.14884582,-20.90293608,5.81
17797,57.14926223,-37.62012878,4.30
17805,57.16215134,0.22787124,5.91
17846,57.28384500,43.96302293,5.95
17847,57.29054669,24.05352412,3.62
17851,57.29668368,24.13682565,5.05
17854,57.30708659,70.87120237,5.40
17874,57.36367035,-36.20011250,4.17
17884,57.38035594,65.52600645,4.39
17886,57.38626020,33.09138142,5.14
17891,57.40258833,63.29710438,5.82
17932,57.51854760,44.96792105,5.65
17954,57.57881165,25.57964862,5.24
17959,57.58948256,71.33236777,4.59
18081,57.97381828,34.35912920,5.78
18089,58.00093529,6.53491424,5.66
18141,58.17355849,-5.36124167,5.48
18170,58.29149356,17.32715595,5.97
18199,58.38876601,-46.89358860,5.93
18212,58.41112532,48.65056848,5.76
18213,58.41218403,-34.73229529,5.11
18216,58.42784574,-24.61221253,4.64
18217,58.42996876,57.97536931,5.80
18246,58.53299363,31.88365776,2.84
18255,58.57286091,-2.95473348,4.46
18262,58.59657689,-40.35702900,5.70
18339,58.81739077,-12.09905104,5.99
18396,58.99232459,47.87147012,5.39
18434,59.11953366,35.08090840,5.49
18453,59.15181574,50.69569169,5.28
18471,59.21680322,22.47825021,5.62
18488,59.28455287,61.10891703,4.99
18505,59.35598140,63.07224944,4.95
18532,59.46342138,40.01027315,2.90
